Pozo,Fecha,qoP [bbl/DC],qwP [bbl/DC]
WELL1,1/05/2013,86,12
WELL1,1/06/2013,215,13
WELL1,1/07/2013,283,10
WELL1,1/08/2013,337,29
WELL1,1/09/2013,351,35
WELL1,1/10/2013,366,55
WELL1,1/11/2013,352,56
WELL1,1/12/2013,382,59
WELL1,1/01/2014,412,46
WELL1,1/02/2014,235,23
WELL1,1/03/2014,316,33
WELL1,1/04/2014,504,64
WELL1,1/05/2014,586,79
WELL1,1/06/2014,533,75
WELL1,1/07/2014,576,117
WELL1,1/08/2014,587,112
WELL1,1/09/2014,542,119
WELL1,1/10/2014,543,144
WELL1,1/11/2014,509,135
WELL1,1/12/2014,443,176
WELL1,1/01/2015,420,208
WELL1,1/02/2015,344,254
WELL1,1/03/2015,336,218
WELL1,1/04/2015,365,203
WELL1,1/05/2015,417,250
WELL1,1/06/2015,411,239
WELL1,1/07/2015,414,256
WELL1,1/08/2015,405,300
WELL1,1/09/2015,345,325
WELL1,1/10/2015,336,369
WELL1,1/11/2015,445,377
WELL1,1/12/2015,421,358
WELL1,1/01/2016,411,331
WELL1,1/02/2016,434,369
WELL1,1/03/2016,441,391
WELL1,1/04/2016,451,377
WELL1,1/05/2016,462,394
WELL1,1/06/2016,431,387
WELL1,1/07/2016,403,401
WELL1,1/08/2016,434,408
WELL1,1/09/2016,377,477
WELL1,1/10/2016,342,534
WELL1,1/11/2016,359,526
WELL1,1/12/2016,346,498
WELL1,1/01/2017,338,495
WELL1,1/02/2017,350,495
WELL1,1/03/2017,338,508
WELL1,1/04/2017,338,531
WELL1,1/05/2017,304,534
WELL1,1/06/2017,299,569
WELL1,1/07/2017,332,620
WELL1,1/08/2017,303,642
WELL1,1/09/2017,287,594
WELL1,1/10/2017,312,675
WELL1,1/11/2017,77,160
WELL1,1/12/2017,,
WELL1,1/01/2018,,
WELL1,1/02/2018,196,352
WELL1,1/03/2018,284,507
WELL1,1/04/2018,112,329
WELL1,1/05/2018,173,313
WELL1,1/06/2018,173,379
WELL1,1/07/2018,157,391
WELL1,1/08/2018,198,374
WELL1,1/09/2018,210,401
WELL1,1/10/2018,243,367
WELL1,1/11/2018,221,399
WELL1,1/12/2018,224,442
WELL1,1/01/2019,256,453
WELL1,1/02/2019,217,470
WELL1,1/03/2019,197,452
WELL1,1/04/2019,136,432
WELL1,1/05/2019,119,458
WELL1,1/06/2019,114,431
WELL1,1/07/2019,235,380
WELL1,1/08/2019,185,525
WELL1,1/09/2019,213,571
WELL1,1/10/2019,208,559
WELL1,1/11/2019,204,551
WELL1,1/12/2019,192,531
WELL1,1/01/2020,221,448
WELL1,1/02/2020,208,448
WELL1,1/03/2020,169,470
WELL1,1/04/2020,139,533
WELL1,1/05/2020,159,532
WELL1,1/06/2020,155,544
WELL1,1/07/2020,147,505
WELL1,1/08/2020,145,488
WELL1,1/09/2020,135,448
WELL1,1/10/2020,127,442
WELL1,1/11/2020,137,505
WELL1,1/12/2020,165,710
WELL1,1/01/2021,169,870
WELL1,1/02/2021,210,904
WELL1,1/03/2021,217,853
WELL1,1/04/2021,190,669
WELL1,1/05/2021,242,618
WELL1,1/06/2021,276,538
WELL1,1/07/2021,176,657
WELL1,1/08/2021,148,697
WELL1,1/09/2021,201,580
WELL1,1/10/2021,178,609
WELL1,1/11/2021,171,558
WELL1,1/12/2021,210,520
WELL1,1/01/2022,186,548
WELL1,1/02/2022,184,548
WELL1,1/03/2022,200,588
WELL1,1/04/2022,179,656
WELL1,1/05/2022,181,619
WELL1,1/06/2022,197,608
WELL1,1/07/2022,176,569
WELL1,1/08/2022,171,556
WELL1,1/09/2022,210,585
WELL1,1/10/2022,201,637
WELL1,1/11/2022,197,695
WELL1,1/12/2022,184,710
WELL1,1/01/2023,200,683
WELL1,1/02/2023,201,696
WELL1,1/03/2023,188,713
WELL1,1/04/2023,161,678
WELL1,1/05/2023,115,529
WELL1,1/06/2023,148,678
WELL1,1/07/2023,164,714
WELL1,1/08/2023,173,733
WELL1,1/09/2023,172,756
WELL1,1/10/2023,129,580
WELL1,1/11/2023,143,672
WELL1,1/12/2023,147,757
